,Brute-Force,Rehashing,hash function optimizer,Rehashing + hash function optimization
0,0.09011,0.093945,0.056797,0.057377
1,0.147399,0.200318,0.080963,0.050151
2,0.211388,0.209237,0.108987,0.03189
3,0.280478,0.399932,0.132129,0.073099
4,0.357523,0.350483,0.161721,0.033182
5,0.442352,0.491623,0.197497,0.031657
6,0.574221,0.994157,0.270912,0.108881
7,0.756939,0.699416,0.637976,0.036387
8,1.542265,0.927018,0.48461,0.050597
9,2.803076,1.280747,0.625223,0.032137
10,2.100582,1.703734,0.78347,0.032283
11,2.282119,2.156406,0.936452,0.032112
12,2.809728,2.693023,1.156572,0.033125
13,3.650197,6.043705,1.343435,0.20198
14,4.124238,4.660261,1.777719,0.038078
15,4.805931,4.265591,2.142247,0.032198
16,5.078122,5.83079,2.286275,0.03206
17,6.342946,6.219609,2.568687,0.111952
18,6.853123,5.783246,2.666479,0.031986
19,7.616464,6.437321,2.769888,0.031879
20,7.487084,6.937731,3.018529,0.032224
21,8.053555,7.532159,3.209741,0.032797
22,9.181539,8.148617,3.442004,0.032537
23,10.922121,8.751458,3.694115,0.033719
24,10.92071,9.55072,4.044157,0.033258
25,11.961705,10.077126,4.03439,0.033684
26,12.976639,10.795306,4.351253,0.156942
27,12.521762,20.264691,4.486026,0.387056
28,12.448779,11.182927,4.737324,0.043741
29,14.701011,11.942533,4.9354,0.033036
30,15.050624,12.408974,5.193368,0.032061
31,16.189056,13.105293,5.421016,0.032063
32,15.310701,13.551277,5.603443,0.032602
33,15.596718,14.244584,5.853516,0.032478
34,16.054273,14.701602,6.137805,0.032671
35,16.568113,15.233173,6.315728,0.032359
36,18.851635,16.187524,6.697757,0.241113
37,19.62315,16.528346,6.799161,0.038124
38,19.665268,17.577862,7.033054,0.033273
39,19.20879,17.694694,7.286102,0.033677
40,20.620925,18.503295,7.461388,0.034168
41,21.446941,18.972664,7.684721,0.034168
42,22.319969,19.590292,7.951212,0.034161
43,22.942648,21.142569,8.158052,0.035095
44,22.753503,21.5686,8.389206,0.035155
45,23.307527,22.37362,8.613016,0.034268
46,24.877167,23.242451,9.062379,0.270162
47,24.674993,24.421039,9.14839,0.033869
48,26.185325,24.024974,9.340699,0.034821
49,26.389861,23.848835,9.546844,0.033739
50,26.690003,24.25588,9.814202,0.033114
51,27.825043,25.119324,9.970819,0.032912
52,28.321783,25.435765,10.237631,0.033383
53,29.380654,26.062255,10.449787,0.033194
54,30.778216,27.047175,10.699712,0.033806
55,30.462263,47.295315,10.94131,0.73478
56,31.159324,26.615354,11.140363,0.032231
57,30.764283,27.130345,11.362834,0.032789
58,33.606668,30.184863,11.592973,0.0326
59,34.644286,31.9201,12.044654,0.424079
60,33.714473,32.010985,12.809065,0.033857
61,34.036731,29.93658,12.855057,0.033745
62,35.744656,31.942455,13.438457,0.033687
63,36.551955,31.437505,13.404841,0.033291
64,34.630751,32.393185,14.058969,0.032681
65,36.761673,32.727924,13.864889,0.032379
66,38.438825,34.550008,13.458908,0.032961
67,38.54188,33.742402,14.411158,0.032491
68,38.150663,34.136576,15.184411,0.032711
69,42.290049,35.360597,14.827436,0.032577
70,39.252081,34.732608,15.710754,0.03265
71,41.575493,36.081548,14.895878,0.033082
72,41.56751,37.974128,15.844421,0.032591
73,42.613581,37.735601,16.703216,0.032786
74,43.038275,39.116045,17.639449,0.468806
75,43.047387,38.818479,15.947421,0.033161
76,43.992577,39.389706,16.213045,0.032698
77,44.756044,40.78444,16.328018,0.033297
78,44.828295,40.249316,17.068669,0.032667
79,45.909874,40.689782,17.042336,0.032688
80,45.720942,40.74804,16.976773,0.032936
81,47.164594,41.456899,17.68766,0.032654
82,47.193382,42.518727,18.0321,0.034063
83,49.427061,42.63202,17.855786,0.033312
84,49.676847,43.210591,18.649283,0.033176
85,49.917883,44.222766,18.683969,0.035023
86,49.022318,44.852132,18.92709,0.034911
87,50.410178,45.151558,18.472609,0.034917
88,51.173126,45.264974,19.098652,0.036331
89,52.347714,46.331023,19.22384,0.035217
90,53.825089,47.129965,19.603457,0.032923
91,52.880606,47.034654,19.144613,0.033121
92,53.597681,48.144766,19.38224,0.0331
93,53.995217,48.39789,19.915872,0.033361
94,53.761792,50.035675,20.646953,0.511169
95,55.465843,49.598918,20.151197,0.033676
96,57.497694,51.612349,20.462329,0.033246
97,57.373845,52.03761,20.589575,0.033185
98,57.834312,52.054953,21.372307,0.033135
99,56.413942,52.510547,22.142228,0.033065